,Доп. размер
0,11.7
1,11.7
2,11.7
3,11.7
4,6
5,11.7
6,бухты
7,бухты
8,6
9,11.7
10,6
11,бухты
12,6
13,6
14,бухты
15,11.7
16,11.7
17,11.7
18,11.7
19,11.7
20,11.7
21,11.7
22,11.7
23,11.7
24,11.7
25,11.7
26,6 размотка
27,6 размотка
28,бухты
29,11.7
30,11.7
31,11.7
32,6 размотка
33,11.7
34,11.7
35,11.7
36,11.7
37,бухты
38,11.7
39,11.7
40,11.7
41,11.7
42,6
43,11.7
44,11.7
45,6 размотка
46,бухты
47,6 размотка
48,бухты
49,11.7 размотка
50,12
51,11.7
52,бухты
53,6
54,11.7
55,11.7
56,11.7
57,11.7
58,бухты
59,6 размотка
60,11.7
61,6 размотка
62,6 размотка
63,бухты
64,6
65,бухты
66,6
67,бухты
68,бухты
69,бухты
70,11.7
71,6
72,11.7
73,11.7
74,11.7
75,11.7
76,6 размотка
77,размотка
78,11.7 размотка
79,бухты
80,бухты
81,11.7
82,бухты
83,11.7
84,11.7 размотка
85,6 размотка
86,бухты
87,11.7
88,бухты
89,6
90,6
91,бухты
92,6
93,6
94,11.7 размотка
95,11.7
96,6 размотка
97,бухты
98,6 размотка
99,6
100,бухты
101,6 размотка
102,11.7 размотка
103,3
104,11.7
105,11.7
106,11.7
107,12
108,12
109,12
110,12
111,6
112,6
113,12
114,бухты
115,бухты
116,бухты
117,6
118,11.7
119,бухты
120,11.7
121,6
122,11.7
123,12
124,12
125,11.7
126,11.7
128,11.7
129,11.7
130,6
131,12
132,11.7
133,11.7
134,11.7
135,бухты
136,6
137,бухты
138,6
139,6
140,6
141,11.7 размотка
142,11.7
143,11.7
144,11.7
145,11.7
146,11.7
147,12 размотка
148,6 размотка
149,бухты
150,бухты
151,бухты
152,11.7
153,11.7
154,11.7
155,11.7
156,11.7
157,11.7
158,11.7
159,11.7
160,11.7
161,6 размотка
162,11.7
163,11.7
164,11.7
165,11.7
166,11.7
167,11.7
168,6
169,6
170,6
171,5.85
172,11.7
173,11.7
174,11.7
175,11.7
176,11.7
177,11.7
178,11.7
179,бухты
180,11.7
181,11.7
182,11.7
183,11.7
184,бухты
185,бухты
186,12
187,12
188,12
189,12
190,12
191,12
192,бухты
